"DrugName","DrugID_ChEMBL","DrugSMILES","TargetID_Entrez","TargetGeneSymbol_Entrez"
"acarbose","CHEMBL1566","[H][C@]1(N[C@@H]2[C@@H](C)O[C@H](O[C@]3([H])[C@@H](CO)O[C@H](O[C@]4([H])[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C(CO)[C@@H](O)[C@H](O)[C@H]1O",279,"AMY2A"
"acarbose","CHEMBL1566","[H][C@]1(N[C@@H]2[C@@H](C)O[C@H](O[C@]3([H])[C@@H](CO)O[C@H](O[C@]4([H])[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C(CO)[C@@H](O)[C@H](O)[C@H]1O",8972,"MGAM"
"acarbose","CHEMBL1566","[H][C@]1(N[C@@H]2[C@@H](C)O[C@H](O[C@]3([H])[C@@H](CO)O[C@H](O[C@]4([H])[C@@H](CO)OC(O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)C=C(CO)[C@@H](O)[C@H](O)[C@H]1O",6476,"SI"
"acebutolol","CHEMBL642","CCCC(=O)NC1=CC(C(C)=O)=C(OCC(O)CNC(C)C)C=C1",153,"ADRB1"
"aceclofenac","CHEMBL93645","OC(=O)COC(=O)CC1=C(NC2=C(Cl)C=CC=C2Cl)C=CC=C1",5743,"PTGS2"
"acenocoumarol","CHEMBL397420","[H]C(CC(O)=O)(C1=CC=C(C=C1)[N+]([O-])=O)C1=C(O)C2=C(OC1=O)C=CC=C2",79001,"VKORC1"
"aceprometazine","CHEMBL2104054","CC(CN1C2=CC=CC=C2SC2=C1C=C(C=C2)C(C)=O)N(C)C",3269,"HRH1"
"acetazolamide","CHEMBL20","CC(=O)NC1=NN=C(S1)S(N)(=O)=O",759,"CA1"
"acetazolamide","CHEMBL20","CC(=O)NC1=NN=C(S1)S(N)(=O)=O",760,"CA2"
"acetazolamide","CHEMBL20","CC(=O)NC1=NN=C(S1)S(N)(=O)=O",762,"CA4"
"acetazolamide","CHEMBL20","CC(=O)NC1=NN=C(S1)S(N)(=O)=O",771,"CA12"
"acetophenazine","CHEMBL1085","CC(=O)C1=CC=C2SC3=CC=CC=C3N(CCCN3CCN(CCO)CC3)C2=C1",1813,"DRD2"
"acetyldigitoxin","CHEMBL3545057","[H][C@@]1(C[C@H](O)[C@H](O[C@@]2([H])C[C@H](O)[C@H](O[C@@]3([H])C[C@H](OC(C)=O)[C@H](O)[C@@H](C)O3)[C@@H](C)O2)[C@@H](C)O1)O[C@H]1CC[C@@]2(C)[C@]([H])(CC[C@]3([H])[C@]2([H])CC[C@]2(C)[C@H](CC[C@]32O)C2=CC(=O)OC2)C1",476,"ATP1A1"
"acetylsalicylic acid","CHEMBL25","CC(=O)OC1=CC=CC=C1C(O)=O",5742,"PTGS1"
"acetylsalicylic acid","CHEMBL25","CC(=O)OC1=CC=CC=C1C(O)=O",5743,"PTGS2"
"acitretin","CHEMBL1131","COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1",5914,"RARA"
"acitretin","CHEMBL1131","COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1",5916,"RARG"
"acrivastine","CHEMBL1224","CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=CC=CC(\C=C\C(O)=O)=N1",3269,"HRH1"
"adalimumab","CHEMBL1201580","",7124,"TNF"
"adapalene","CHEMBL1265","COC1=CC=C(C=C1C12CC3CC(CC(C3)C1)C2)C1=CC=C2C=C(C=CC2=C1)C(O)=O",5916,"RARG"
"adapalene","CHEMBL1265","COC1=CC=C(C=C1C12CC3CC(CC(C3)C1)C2)C1=CC=C2C=C(C=CC2=C1)C(O)=O",5915,"RARB"
"adenosine","CHEMBL477","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1",134,"ADORA1"
"adenosine","CHEMBL477","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1",135,"ADORA2A"
"adenosine","CHEMBL477","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1",136,"ADORA2B"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2561,"GABRB2"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2563,"GABRD"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2567,"GABRG3"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2556,"GABRA3"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2565,"GABRG1"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2558,"GABRA5"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2562,"GABRB3"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2554,"GABRA1"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2555,"GABRA2"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2566,"GABRG2"
"adinazolam","CHEMBL328250","CN(C)CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2560,"GABRB1"
"afamelanotide","CHEMBL441738","CCCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CC=C(O)C=C1)NC(=O)[C@H](CO)NC(C)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(N)=O",4157,"MC1R"
"afatinib","CHEMBL1173655","CN(C)C\C=C\C(=O)NC1=CC2=C(C=C1O[C@H]1CCOC1)N=CN=C2NC1=CC(Cl)=C(F)C=C1",2064,"ERBB2"
"afatinib","CHEMBL1173655","CN(C)C\C=C\C(=O)NC1=CC2=C(C=C1O[C@H]1CCOC1)N=CN=C2NC1=CC(Cl)=C(F)C=C1",1956,"EGFR"
"afatinib","CHEMBL1173655","CN(C)C\C=C\C(=O)NC1=CC2=C(C=C1O[C@H]1CCOC1)N=CN=C2NC1=CC(Cl)=C(F)C=C1",2066,"ERBB4"
"aflibercept","CHEMBL1742982","",5228,"PGF"
"aflibercept","CHEMBL1742982","",7422,"VEGFA"
"aflibercept","CHEMBL1742982","",7423,"VEGFB"
"agomelatine","CHEMBL10878","COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1",3358,"HTR2C"
"agomelatine","CHEMBL10878","COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1",4544,"MTNR1B"
"agomelatine","CHEMBL10878","COC1=CC2=C(C=CC=C2CCNC(C)=O)C=C1",4543,"MTNR1A"
"albiglutide","CHEMBL2107841","[H]N[C@@H](CC1=CNC=N1)C(=O)NCC(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(O)=O",2740,"GLP1R"
"alcaftadine","CHEMBL1201747","CN1CCC(CC1)=C1C2=NC=C(C=O)N2CCC2=C1C=CC=C2",3269,"HRH1"
"aldesleukin","CHEMBL1201438","",3559,"IL2RA"
"aldesleukin","CHEMBL1201438","",3560,"IL2RB"
"aldesleukin","CHEMBL1201438","",3561,"IL2RG"
"alectinib","CHEMBL1738797","CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C3=CC=C(C=C3N1)C#N)C2=O",238,"ALK"
"alefacept","CHEMBL1201571","",914,"CD2"
"alemtuzumab","CHEMBL1201587","",1043,"CD52"
"alendronic acid","CHEMBL675","NCCCC(O)(P(O)(O)=O)P(O)(O)=O",2224,"FDPS"
"alfacalcidol","CHEMBL1601669","[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)CCCC(C)C",7421,"VDR"
"alfentanil","CHEMBL634","CCN1N=NN(CCN2CCC(COC)(CC2)N(C(=O)CC)C2=CC=CC=C2)C1=O",4988,"OPRM1"
"alfuzosin","CHEMBL709","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1",148,"ADRA1A"
"alfuzosin","CHEMBL709","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1",147,"ADRA1B"
"alfuzosin","CHEMBL709","COC1=C(OC)C=C2C(N)=NC(=NC2=C1)N(C)CCCNC(=O)C1CCCO1",146,"ADRA1D"
"alimemazine","CHEMBL829","CC(CN(C)C)CN1C2=CC=CC=C2SC2=C1C=CC=C2",3269,"HRH1"
"alirocumab","CHEMBL2109540","",255738,"PCSK9"
"aliskiren","CHEMBL1639","[H][C@@](C[C@H](N)[C@@H](O)C[C@@H](C(C)C)C(=O)NCC(C)(C)C(N)=O)(CC1=CC(OCCCOC)=C(OC)C=C1)C(C)C",5972,"REN"
"alitretinoin","CHEMBL705","C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O",5914,"RARA"
"alitretinoin","CHEMBL705","C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O",5916,"RARG"
"alitretinoin","CHEMBL705","C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O",5915,"RARB"
"alitretinoin","CHEMBL705","C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O",6258,"RXRG"
"alitretinoin","CHEMBL705","C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O",6256,"RXRA"
"alitretinoin","CHEMBL705","C\C(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(\C)=C\C(O)=O",6257,"RXRB"
"allopurinol","CHEMBL1467","OC1=NC=NC2=C1C=NN2",7498,"XDH"
"almotriptan","CHEMBL1505","CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2",3352,"HTR1D"
"almotriptan","CHEMBL1505","CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2",3351,"HTR1B"
"alogliptin","CHEMBL376359","CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(CC2=C(C=CC=C2)C#N)C1=O",1803,"DPP4"
"alosetron","CHEMBL1110","CN1C2=C(C3=C1C=CC=C3)C(=O)N(CC1=C(C)N=CN1)CC2",3359,"HTR3A"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2561,"GABRB2"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2556,"GABRA3"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2558,"GABRA5"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2562,"GABRB3"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2554,"GABRA1"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2555,"GABRA2"
"alprazolam","CHEMBL661","CC1=NN=C2CN=C(C3=CC=CC=C3)C3=CC(Cl)=CC=C3N12",2566,"GABRG2"
"alprenolol","CHEMBL266195","CC(C)NCC(O)COC1=C(CC=C)C=CC=C1",153,"ADRB1"
"alprenolol","CHEMBL266195","CC(C)NCC(O)COC1=C(CC=C)C=CC=C1",154,"ADRB2"
"alprostadil","CHEMBL495","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O",5732,"PTGER2"
"alprostadil","CHEMBL495","CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(O)=O",5731,"PTGER1"
"alteplase","CHEMBL1201593","",5340,"PLG"
"alvimopan","CHEMBL270190","C[C@H]1CN(C[C@H](CC2=CC=CC=C2)C(=O)NCC(O)=O)CC[C@@]1(C)C1=CC(O)=CC=C1",4988,"OPRM1"
"amantadine","CHEMBL660","NC12CC3CC(CC(C3)C1)C2",116443,"GRIN3A"
"ambenonium","CHEMBL1652","CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1",43,"ACHE"
"ambrisentan","CHEMBL1111","COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1",1909,"EDNRA"
"amcinonide","CHEMBL1200732","[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]1(OC1(CCCC1)O2)C(=O)COC(C)=O",2908,"NR3C1"
"amiloride","CHEMBL945","NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1",41,"ASIC1"
"amiloride","CHEMBL945","NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1",6340,"SCNN1G"
"amiloride","CHEMBL945","NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1",6338,"SCNN1B"
"amiloride","CHEMBL945","NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1",6337,"SCNN1A"
"aminocaproic acid","CHEMBL1046","NCCCCCC(O)=O",5340,"PLG"
"aminocaproic acid","CHEMBL1046","NCCCCCC(O)=O",5327,"PLAT"
"aminoglutethimide","CHEMBL488","CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1",1583,"CYP11A1"
"aminoglutethimide","CHEMBL488","CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1",1588,"CYP19A1"
"aminosalicylic acid","CHEMBL1169","NC1=CC(O)=C(C=C1)C(O)=O",5743,"PTGS2"
"amiodarone","CHEMBL633","CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=C(O1)C=CC=C2",3757,"KCNH2"
"amisulpride","CHEMBL243712","CCN1CCCC1CNC(=O)C1=C(OC)C=C(N)C(=C1)S(=O)(=O)CC",1814,"DRD3"
"amisulpride","CHEMBL243712","CCN1CCCC1CNC(=O)C1=C(OC)C=C(N)C(=C1)S(=O)(=O)CC",1813,"DRD2"
"amitriptyline","CHEMBL629","CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2",6530,"SLC6A2"
"amitriptyline","CHEMBL629","CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2",6532,"SLC6A4"
"amlodipine","CHEMBL1491","[H]C1(C2=C(Cl)C=CC=C2)C(C(=O)OC)=C(C)NC(COCCN)=C1C(=O)OCC",775,"CACNA1C"
"amlodipine","CHEMBL1491","[H]C1(C2=C(Cl)C=CC=C2)C(C(=O)OC)=C(C)NC(COCCN)=C1C(=O)OCC",776,"CACNA1D"
"amodiaquine","CHEMBL682","CCN(CC)CC1=C(O)C=CC(NC2=CC=NC3=CC(Cl)=CC=C23)=C1",3176,"HNMT"
"amoxapine","CHEMBL1113","ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1",3362,"HTR6"
"amoxapine","CHEMBL1113","ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1",1815,"DRD4"
"amoxapine","CHEMBL1113","ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1",6530,"SLC6A2"
"amoxapine","CHEMBL1113","ClC1=CC=C2OC3=C(C=CC=C3)N=C(N3CCNCC3)C2=C1",6532,"SLC6A4"
"amrinone","CHEMBL12856","NC1=CC(=CNC1=O)C1=CC=NC=C1",5139,"PDE3A"
"anagrelide","CHEMBL760","ClC1=CC=C2N=C3NC(=O)CN3CC2=C1Cl",5139,"PDE3A"
"anakinra","CHEMBL1201570","[H]N[C@@H](CCSC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C)C(=O)NCC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCC(O)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC1=CNC=N1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)NCC(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CC1=CNC=N1)C(=O)NCC(=O)NCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CO)C(=O)NCC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](C)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CO)C(=O)NCC(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CS)C(=O)N1CCC[C@H]1C(=O)NCC(=O)N[C@@H](CC1=CNC2=C1C=CC=C2)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CS)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCSC)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CCSC)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O",3554,"IL1R1"
"anastrozole","CHEMBL1399","CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N",1588,"CYP19A1"
"anileridine","CHEMBL1200543","CCOC(=O)C1(CCN(CCC2=CC=C(N)C=C2)CC1)C1=CC=CC=C1",4988,"OPRM1"
"anisindione","CHEMBL712","COC1=CC=C(C=C1)C1C(=O)C2=C(C=CC=C2)C1=O",2677,"GGCX"
"antazoline","CHEMBL1305","C(N(CC1=CC=CC=C1)C1=CC=CC=C1)C1=NCCN1",3269,"HRH1"
"apixaban","CHEMBL231779","COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O",2159,"F10"
"apomorphine","CHEMBL53","[H][C@]12CC3=CC=C(O)C(O)=C3C3=CC=CC(CCN1C)=C23",1815,"DRD4"
"apomorphine","CHEMBL53","[H][C@]12CC3=CC=C(O)C(O)=C3C3=CC=CC(CCN1C)=C23",1816,"DRD5"
"apomorphine","CHEMBL53","[H][C@]12CC3=CC=C(O)C(O)=C3C3=CC=CC(CCN1C)=C23",1813,"DRD2"
"apraclonidine","CHEMBL647","NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1",151,"ADRA2B"
"apraclonidine","CHEMBL647","NC1=CC(Cl)=C(NC2=NCCN2)C(Cl)=C1",150,"ADRA2A"
"apremilast","CHEMBL514800","CCOC1=C(OC)C=CC(=C1)[C@@H](CS(C)(=O)=O)N1C(=O)C2=CC=CC(NC(C)=O)=C2C1=O",5144,"PDE4D"
"aprepitant","CHEMBL1471","C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F",6869,"TACR1"
